劳伦皮埃尔蒂芬=Lao Luân Bì Ai Nhĩ Đế Phân
北斗七星月光舞=Bắc Đẩu Thất Tinh Nguyệt Quang Vũ
天极九转心法=Thiên Cực Cửu Chuyển Tâm Pháp
尼古拉斯二世=Ni Cổ Lạp Tư Nhị Thế
斩妖灭魔剑诀=Trảm Yêu Diệt Ma Kiếm Quyết
烈火天罡剑诀=Liệt Hỏa Thiên Cang Kiếm Quyết
特里帕蒂啐格=Đặc Lý Mạt Đế Thối Cách
特里帕蒂辛格=Đặc Lý Mạt Đế Tân Cách
瞬间转移大法=Thuấn Gian Chuyển Di Đại Pháp
阿布拉莫维奇=A Bố Lạp Mạc Duy Kỳ
降魔金刚法力=Hàng Ma Kim Cương Pháp Lực
下猎户悬臂=Hạ Liệp Hộ Huyền Tí
九门连星阵=Cửu Môn Liên Tinh Trận
五雷正天诀=Ngũ Lôi Chính Thiên Quyết
修罗绝天阵=Tu La Tuyệt Thiên Trận
克劳塞维斯=Khắc Lao Tắc Duy Tư
克莱乌迪马=Khắc Lai Ô Địch Mã
克莱门重工=Khắc Lai Môn Trọng Công
凤凰书学院=Phượng Hoàng Thư Học Viện
南希伯伦斯=Nam Hi Bá Luân Tư
卢克雷蒂娅=Lô Khắc Lôi Đế Á
哈利法克斯=Cáp Lợi Pháp Khắc Tư
哈立法克斯=Cáp Lập Pháp Khắc Tư
四灵群妖阵=Tứ Linh Quần Yêu Trận
大天罗神功=Đại Thiên La Thần Công
大慈大悲手=Đại Từ Đại Bi Thủ
天星失魂散=Thiên Tinh Thất Hồn Tán
天河群星阵=Thiên Hà Quần Tinh Trận
太清纯阳阵=Thái Thanh Thuần Dương Trận
太玄裂天道=Thái Huyền Liệt Thiên Đạo
如意心魂剑=Như Ý Tâm Hồn Kiếm
安东尼奥龙=An Đông Ni Áo Long
察罕特穆尔=Sát Hãn Đặc Mục Nhĩ
就想起来的=liền nhớ
山本十八郎=Sơn Bổn Thập Bát Lang
巴尔塔扎尔=Ba Nhĩ Tháp Trát Nhĩ
布雷肯里奇=Bố Lôi Khẳng Lý Kỳ
庐山不归路=Lư Sơn Bất Quy Lộ
弗极基米尔=Phất Cực Cơ Mễ Nhĩ
心禅不灭诀=Tâm Thiện Bất Diệt Quyết
戴德斯维尔=Đái Đức Tư Duy Nhĩ
摩尔克斯亚=Ma Nhĩ Khắc Tư Á
敏敏特穆尔=Mẫn Mẫn Đặc Mục Nhĩ
易天十二诀=Dịch Thiên Thập Nhị Quyết
普鲁斯托顿=Phổ Lỗ Tư Thác Đốn
梅斯菲尔德=Mai Tư Phỉ Nhĩ Đức
洛斯梅尔特=Lạc Tư Mai Nhĩ Đặc
海纳梵森特=Hải Nạp Phạm Sâm Đặc
玄冰震魂诀=Huyền Băng Chấn Hồn Quyết
玄灵神火阵=Huyền Linh Thần Hỏa Trận
皮儿马黑麻=Bì Nhi Mã Hắc Ma
石中焱炽铁=Thạch Trung Diễm Sí Thiết
神龙定星阵=Thần Long Định Tinh Trận
秋山林一夫=Thu Sơn Lâm Nhất Phu
秋山秣一夫=Thu Sơn Mạt Nhất Phu
米诺斯良格=Mễ Nặc Tư Lương Cách
约翰伯伦斯=Ước Hàn Bá Luân Tư
绝生十六式=Tuyệt Sanh Thập Lục Thức
罗德格里斯=La Đức Cách Lý Tư
罗斯柴尔德=La Tư Sài Nhĩ Đức
苍云奇绝阵=Thương Vân Kì Tuyệt Trận
苏莱曼四世=Tô Lai Mạn Tứ Thế
血玉玲珑塔=Huyết Ngọc Linh Lung Tháp
赵 ※ 云=Triệu Vân
铁拳阿克玛=Thiết Quyền A Khắc Mã
阿奇博尔德=A Kỳ Bác Nhĩ Đức
阿尔不莱卡=A Nhĩ Bất Lai Tạp
阿尔忒弥斯=A Nhĩ Thắc Di Tư
阿尔瓦立德=A Nhĩ Ngõa Lập Đức
鬼舞化魂阵=Quỷ Vũ Hóa Hồn Trận
魔龙惊天诀=Ma Long Kinh Thiên Quyết
 唐小小=Đường Tiểu Tiểu
七叶真人=Thất Diệp Chân Nhân
七大圣门=Thất Đại Thánh Môn
七玄掌教=Thất Huyền Chưởng Giáo
七玄真人=Thất Huyền Chân Nhân
七界传说=Thất Giới Truyền Thuyết
万元归一=Vạn Nguyên Quy Nhất
万兽魔珠=Vạn Thú Ma Châu
万年树妖=Vạn Niên Thụ Yêu
万象玄尊=Vạn Tượng Huyền Tôn
三井一男=Tam Tỉnh Nhất Nam
三井真秀=Tam Tỉnh Chân Tú
三大神剑=Tam Đại Thần Kiếm
三尊魔煞=Tam Tôn Ma Sát
三潭印月=Tam Đàm Ấn Nguyệt
三眼怪兽=Tam Nhãn Quái Thú
三眼血魅=Tam Nhãn Huyết Mị
三眼龙狼=Tam Nhãn Long Lang
三色光柱=Tam Sắc Quang Trụ
三色魔眼=Tam Sắc Ma Nhãn
三间七界=Tam Gian Thất Giới
三间鬼域=Tam Gian Quỷ Vực
上官冰儿=Thượng Quan Băng Nhi
上官御龙=Thượng Quan Ngự Long
上官无我=Thượng Quan Vô Ngã
上官无错=Thượng Quan Vô Thác
上官晓芸=Thượng Quan Hiểu Vân
上官檀儿=Thượng Quan Đàn Nhi
上官滴血=Thượng Quan Tích Huyết
上官老四=Thượng Quan Lão Tứ
上官追云=Thượng Quan Truy Vân
上官龙吟=Thượng Quan Long Ngâm
不会出言=Sẽ Không Lên Tiếng
不死血厉=Bất Tử Huyết Lệ
东方一恋=Đông Phương Nhất Luyến
东方世家=Đông Phương Thế Gia
东方傲雄=Đông Phương Ngạo Hùng
东方凝雪=Đông Phương Ngưng Tuyết
东方天娇=Đông Phương Thiên Kiều
东方天骄=Đông Phương Thiên Kiêu
东方无胜=Đông Phương Vô Thắng
东方旺财=Đông Phương Vượng Tài
东方正派=Đông Phương Chánh Phái
东方浮白=Đông Phương Phù Bạch
东方灵嫣=Đông Phương Linh Yên
东方璇玑=Đông Phương Tuyền Cơ
东方盼盼=Đông Phương Phán Phán
东方红云=Đông Phương Hồng Vân
东方问刀=Đông Phương Vấn Đao
东方问心=Đông Phương Vấn Tâm
东方问情=Đông Phương Vấn Tình
东方雪晴=Đông Phương Tuyết Tình
中原七剑=Trung Nguyên Thất Kiếm
中达书府=Trung Đạt Thư Phủ
丹 孙兴=Đơn Tôn Hưng
丹青剑侠=Đan Thanh Kiếm Hiệp
乌曼勒斯=Ô Mạn Lặc Tư
乌特贝克=Ô Đặc Bối Khắc
乌鲁木齐=Ô Lỗ Mộc Tề
乙木真君=Ất Mộc Chân Quân
乙鹤道长=Ất Hạc Đạo Trưởng
九华地阴=Cửu Hoa Địa Âm
九天玄火=Cửu Thiên Huyền Hỏa
九天玄琴=Cửu Thiên Huyền Cầm
九字剑诀=Cửu Tự Kiếm Quyết
九幽令主=Cửu U Lệnh Chủ
九幽冥界=Cửu U Minh Giới
九幽巫术=Cửu U Vu Thuật
九幽炼魂=Cửu U Luyện Hồn
九缺老怪=Cửu Khuyết Lão Quái
九野大师=Cửu Dã Đại Sư
九阳重体=Cửu Dương Trọng Thể
九阴别府=Cửu Âm Biệt Phủ
九阴圣母=Cửu Âm Thánh Mẫu
九阴地灵=Cửu Âm Địa Linh
九阴洞府=Cửu Âm Động Phu
乾元真人=Càn Nguyên Chân Nhân
乾坤一剑=Kiền Khôn Nhất Kiếm
乾坤天地=Càn Khôn Thiên Địa
乾坤玉璧=Càn Khôn Ngọc Bích
云之法界=Vân Chi Pháp Giới
云之法诀=Vân Chi Pháp Quyết
云界天尊=Vân Giới Thiên Tôn
云虚上人=Vân Hư Thượng Nhân
云雾老仙=Vân Vụ Lão Tiên
五彩仙兰=Ngũ Thải Tiên Lan
五彩神针=Ngũ Thải Thần Châm
五彩祥云=Ngũ Thải Tường Vân
五行剑阵=Ngũ Hành Kiếm Trận
五角星芒=Ngũ Giác Tinh Mang
亚尔亚斯=Á Nhĩ Á Tư
亚尔尼斯=Á Nhĩ Ni Tư
亚波尔斯=Á Ba Nhĩ Tư
亡灵尊主=Vong Linh Tôn Chủ
亡灵诅咒=Vong Linh Trớ Chú
人器合一=Nhân Khí Hợp Nhất
仙佛神魔=Tiên Phật Thần Ma
仙鸢星系=Tiên Diên Tinh Hệ
伊万科夫=Y Vạn Khoa Phu
伊丽莎白=Y Lệ Toa Bạch
伊兰特斯=Y Lan Đặc Tư
伊夕迪丝=Y Tịch Địch Ty
伊尔金霍=Y Nhĩ Kim Hoắc
伊莎贝尔=Y Toa Bối Nhĩ
伊莎贝拉=Y Toa Bối Lạp
伊萨多娜=Y Tát Đa Na
伯纳迪恩=Bá Nạp Địch Ân
伽奥德曼=Già Áo Đức Mạn
佛圣道仙=Phật Thánh Đạo Tiên
你朋友妈=mẹ bạn ngươi
佯攻罗兹=Dương Công La Tư
侵魂邪咒=Xâm Hồn Tà Chú
倾城一刀=Khuynh Thành Nhất Đao
克丽苏娜=Khắc Lệ Tô Na
克劳蒂斯=Khắc Lao Đế Tư
克德威尔=Khắc Đức Uy Nhĩ
克拉马奇=Khắc Lạp Mã Kỳ
克罗迪尔=Khắc La Địch Nhĩ
克里夫兰=Khắc Lý Phu Lan
八眼奇兽=Bát Nhãn Kỳ Thú
八眼神兽=Bát Nhãn Thần Thú
公冶小容=Công Dã Tiểu Dung
公孙飞虎=Công Tôn Phi Hổ
公孙飞豹=Công Tôn Phi Báo
公孙飞龙=Công Tôn Phi Long
